prototype,creation,reading,update,deletion
QR Code x NFT,419692618268500,0,95611724824088,102335839712497
QR Code x DID,81589528727353,0,81992671680880,78683125860509
HaLo NFC x PBT,751418772437413,0,95679921489441,72707190933093
HaLo NFC x DID,297931506527391,0,81992671680880,78683125860509
