prototype,creation,reading,update,deletion
QR Code x NFT,1.45,0,0.33,0.35
QR Code x DID,0.28,0,0.28,0.27
HaLo NFC x PBT,2.60,0,0.33,0.25
HaLo NFC x DID,1.03,0,0.28,0.27
